"endTime","artistName","trackName","msPlayed"
"2022-03-12 04:06","blackbear","I feel 2 much",200672
"2022-03-12 04:09","blackbear","I feel 2 much",597
"2022-03-12 04:13","BTS","Dynamite",199053
"2022-03-12 04:16","Rex Orange County","Always",197333
"2022-03-12 04:18","Machine Gun Kelly","my ex's best friend (with blackbear)",139460
"2022-03-12 04:24","blackbear","I feel 2 much",240037
"2022-03-12 04:27","BTS","Permission to Dance",187585
"2022-03-12 04:46","Coldplay","My Universe - SUGA's Remix",11732
"2022-03-12 13:08","Ang Walang Kwentang Podcast","When a Coffee Magnate Falls in Love",310330
"2022-03-12 13:18","Ang Walang Kwentang Podcast","No More FOMO: Films and Series Na Sana’y Kami’y Naki-Usow",614590
"2022-03-13 01:34","Taylor Swift","Gorgeous",209680
"2022-03-13 01:37","Taylor Swift","Wildest Dreams",220440
"2022-03-13 01:42","ZAYN","I Don’t Wanna Live Forever (Fifty Shades Darker)",245653
"2022-03-13 01:47","Taylor Swift","happiness",315146
"2022-03-13 01:51","Taylor Swift","Red",223093
"2022-03-13 01:53","Taylor Swift","ME! (feat. Brendon Urie of Panic! At The Disco)",168843
"2022-03-13 01:57","Taylor Swift","evermore (feat. Bon Iver)",216834
"2022-03-13 02:01","Taylor Swift","Wildest Dreams (Taylor's Version)",220433
"2022-03-13 02:04","Taylor Swift","Love Story (Taylor's Version) - Elvira Remix",211857
"2022-03-13 02:10","Taylor Swift","Enchanted",352200
"2022-03-13 02:14","Taylor Swift","Mine",230773
"2022-03-13 02:16","Taylor Swift","The Story Of Us",135111
"2022-03-13 08:49","Taylor Swift","Blank Space",231826
"2022-03-13 09:17","Taylor Swift","Enchanted",293473
"2022-03-13 13:31","Ang Walang Kwentang Podcast","No More FOMO: Films and Series Na Sana’y Kami’y Naki-Usow",326840
"2022-03-14 10:43","Taylor Swift","Enchanted",19416
"2022-03-14 10:43","Rex Orange County","Always",778
"2022-03-14 10:43","blackbear","I feel 2 much",1835
"2022-03-14 10:45","Machine Gun Kelly","my ex's best friend (with blackbear)",139460
"2022-03-14 10:49","blackbear","I feel 2 much",240037
"2022-03-14 10:52","BTS","Dynamite",199053
"2022-03-14 11:01","Coldplay","My Universe",73491
"2022-03-14 11:01","Ang Walang Kwentang Podcast","Raket Pa More: A Shooting and Taping Memoir (Part 6)",142660
"2022-03-14 11:07","Ang Walang Kwentang Podcast","Raket Pa More: A Shooting and Taping Memoir (Part 6)",360756
"2022-03-15 13:14","blackbear","I felt that",2226
"2022-03-15 13:14","Ang Walang Kwentang Podcast","Raket Pa More: A Shooting and Taping Memoir (Part 6)",875940
"2022-03-15 13:14","blackbear","I feel 2 much",11264
"2022-03-15 13:19","Paramore","Brick by Boring Brick",253946
"2022-03-15 13:22","Fall Out Boy","I'm Like A Lawyer With The Way I'm Always Trying To Get You Off (Me & You)",211720
"2022-03-15 13:34","Fall Out Boy","Thnks fr th Mmrs",51516
"2022-03-15 15:12","Ang Walang Kwentang Podcast","Raket Pa More: A Shooting and Taping Memoir (Part 6)",303020
"2022-03-17 10:53","The Maine","Black Butterflies and Déjà Vu",203057
"2022-03-17 10:57","Coldplay","My Universe - SUGA's Remix",188234
"2022-03-17 11:00","BTS","Butter",164441
"2022-03-17 11:03","Fall Out Boy","Thnks fr th Mmrs",203506
"2022-03-17 11:16","Coldplay","My Universe",151039
"2022-03-18 08:21","Coldplay","My Universe",77057
"2022-03-18 08:23","Twenty One Pilots","The Outside",98843
"2022-03-18 08:25","Paramore","Rose-Colored Boy",1715
"2022-03-18 08:25","Twenty One Pilots","The Outside",108075
"2022-03-18 08:28","Paramore","Hard Times",182693
"2022-03-18 08:31","Paramore","Rose-Colored Boy",212835
"2022-03-18 08:35","Paramore","Told You So",188946
"2022-03-18 08:48","Paramore","Forgiveness",195104
"2022-03-18 09:42","Paramore","Forgiveness",25116
"2022-03-18 09:44","Paramore","Fake Happy",147358
"2022-03-18 09:47","Paramore","26",10448
"2022-03-18 09:47","Paramore","Fake Happy",86851
"2022-03-18 09:48","Machine Gun Kelly","my ex's best friend (with blackbear)",4113
"2022-03-18 09:48","Paramore","Pool",9903
"2022-03-18 09:51","BTS","Dynamite",199053
"2022-03-18 09:52","Rex Orange County","Always",3904
